msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,3,3,2,44,0,0,1,.23522195
1600,1,1,2,44,0,0,1,.099972673
1600,1,3,2,44,0,0,1,.034417022
1600,3,2,2,44,0,0,1,.18962497
1600,2,2,2,44,0,0,1,.15972176
1600,3,1,2,44,0,0,1,.086035229
1600,2,3,2,44,0,0,1,.023849985
1600,2,1,2,44,0,0,1,.047146369
1600,1,2,2,44,0,0,1,.12401009
1600,2,3,2,44,1,0,1,.025075756
1600,1,1,2,44,1,0,1,.097387329
1600,3,1,2,44,1,0,1,.088984944
1600,1,3,2,44,1,0,1,.034708899
1600,2,2,2,44,1,0,1,.15623945
1600,2,1,2,44,1,0,1,.047912739
1600,1,2,2,44,1,0,1,.11586867
1600,3,3,2,44,1,0,1,.24788031
1600,3,2,2,44,1,0,1,.18594189
1600,3,3,2,48,0,1,0,.23741776
1600,3,1,2,48,0,1,0,.07271269
1600,2,2,2,48,0,1,0,.16629167
1600,3,2,2,48,0,1,0,.18386489
1600,2,3,2,48,0,1,0,.086995125
1600,2,1,2,48,0,1,0,.039184723
1600,1,2,2,48,0,1,0,.10517859
1600,1,3,2,48,0,1,0,.063421674
1600,1,1,2,48,0,1,0,.044932846
1600,3,3,2,48,0,1,1,.19047724
1600,1,3,2,48,0,1,1,.10853412
1600,3,2,2,48,0,1,1,.16384298
1600,2,3,2,48,0,1,1,.034375239
1600,2,2,2,48,0,1,1,.098556235
1600,1,1,2,48,0,1,1,.10661866
1600,3,1,2,48,0,1,1,.045966998
1600,2,1,2,48,0,1,1,.036835972
1600,1,2,2,48,0,1,1,.21479252
1600,2,3,2,51,0,0,0,.060178336
1600,3,1,2,51,0,0,0,.08573842
1600,2,2,2,51,0,0,0,.11503989
1600,1,2,2,51,0,0,0,.053936169
1600,2,1,2,51,0,0,0,.025143657
1600,3,2,2,51,0,0,0,.23744091
1600,1,3,2,51,0,0,0,.052201647
1600,3,3,2,51,0,0,0,.3413696
1600,1,1,2,51,0,0,0,.028951349
1600,1,2,2,51,1,0,0,.044281214
1600,1,3,2,51,1,0,0,.052415963
1600,3,3,2,51,1,0,0,.39429119
1600,2,3,2,51,1,0,0,.061777361
1600,1,1,2,51,1,0,0,.02178048
1600,3,2,2,51,1,0,0,.23177366
1600,2,1,2,51,1,0,0,.019470394
1600,2,2,2,51,1,0,0,.094161592
1600,3,1,2,51,1,0,0,.080048129
1600,2,3,2,51,0,0,1,.057740465
1600,2,1,2,51,0,0,1,.024851745
1600,3,3,2,51,0,0,1,.27886876
1600,3,2,2,51,0,0,1,.24071319
