region,msa,race,income,age,naics,wfh,essential,sick,msaname,raw_age,N,pr_type_ineq,binwt,nbin,fillinMEPS
1,5600,1,1,4,31,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",44.968136,431.1546117067337,.00050504942,2421.752727034132,75,0
1,5600,1,1,4,31,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",44.968136,1043.845388293266,.0012227482,2421.752727034132,75,0
1,5600,1,1,4,42,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",44.034145,295.4078805446625,.0003460373,797.1355899698772,232,0
1,5600,1,1,4,42,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",44.034145,524.5921194553375,.00061450101,797.1355899698772,232,0
1,5600,1,1,4,44,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.809387,1946.318249874485,.0022798942,3037.401362395858,75,0
1,5600,1,1,4,44,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.809387,1809.80301512327,.0021199819,3037.401362395858,75,0
1,5600,1,1,4,44,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.809387,725.8967308469886,.00085030682,3037.401362395858,75,0
1,5600,1,1,4,44,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.809387,674.9821578458328,.00079066609,3037.401362395858,75,0
1,5600,1,1,4,48,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",44.316704,1713.498006105423,.0020071713,4076.108348219948,75,0
1,5600,1,1,4,48,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",44.316704,3297.501993894577,.0038626546,4076.108348219948,75,0
1,5600,1,1,4,51,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.939678,175.8352954975775,.00020597137,347.7986449250284,75,0
1,5600,1,1,4,51,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.939678,284.5549203761408,.00033332425,347.7986449250284,75,0
1,5600,1,1,4,51,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",43.939678,109.0819897063562,.00012777734,347.7986449250284,75,0
1,5600,1,1,4,51,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",43.939678,176.5277944199255,.00020678257,347.7986449250284,75,0
1,5600,1,1,4,52,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.400398,288.8593171394125,.00033836637,397.4141643637581,75,0
1,5600,1,1,4,52,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.400398,262.0873851338753,.00030700603,397.4141643637581,75,0
1,5600,1,1,4,52,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.400398,237.534151717399,.0002782447,397.4141643637581,75,0
