age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
1,0,neighbor,3,44,.43774554,913236
1,0,hh,3,48,.00757088,913236
1,0,neighbor,3,48,.20424841,913236
1,0,hh,3,51,.0056984173,913236
1,0,neighbor,3,51,.15572426,913236
1,0,hh,3,52,.010460604,913236
1,0,neighbor,3,52,.27389523,913236
1,0,hh,3,53,.0040274365,913236
1,0,neighbor,3,53,.10630877,913236
1,0,hh,3,54,.013082051,913236
1,0,neighbor,3,54,.34538716,913236
1,0,hh,3,55,.0041533625,913236
1,0,neighbor,3,55,.11110052,913236
1,0,hh,3,56,.011317994,913236
1,0,neighbor,3,56,.3030082,913236
1,0,hh,3,61,.0022141046,913236
1,0,neighbor,3,61,.062206265,913236
1,0,hh,3,62,.015638893,913236
1,0,neighbor,3,62,.40120736,913236
1,0,hh,3,71,.0011782277,913236
1,0,neighbor,3,71,.031828575,913236
1,0,hh,3,72,.0090633743,913236
1,0,neighbor,3,72,.22528678,913236
1,0,hh,3,81,.0062393509,913236
1,0,neighbor,3,81,.16287138,913236
1,0,hh,3,92,.000031755208,913236
1,0,neighbor,3,92,.001064347,913236
1,0,hh,4,0,.039592177,913236
1,0,neighbor,4,0,1.9743308,913236
1,0,hh,4,11,4.3800287e-06,913236
1,0,neighbor,4,11,.00032302714,913236
1,0,hh,4,21,.000098550649,913236
1,0,neighbor,4,21,.0055987719,913236
1,0,hh,4,22,.000078840516,913236
1,0,neighbor,4,22,.0042201579,913236
1,0,hh,4,23,.0012548782,913236
1,0,neighbor,4,23,.076489538,913236
1,0,hh,4,31,.003502928,913236
1,0,neighbor,4,31,.21954894,913236
1,0,hh,4,42,.0011902729,913236
1,0,neighbor,4,42,.074147321,913236
1,0,hh,4,44,.0028316886,913236
1,0,neighbor,4,44,.16381527,913236
1,0,hh,4,48,.0012636383,913236
1,0,neighbor,4,48,.077516653,913236
1,0,hh,4,51,.00092199608,913236
1,0,neighbor,4,51,.057142951,913236
1,0,hh,4,52,.0016184207,913236
1,0,neighbor,4,52,.10185976,913236
1,0,hh,4,53,.0006570043,913236
1,0,neighbor,4,53,.038885895,913236
1,0,hh,4,54,.0020509486,913236
1,0,neighbor,4,54,.13070992,913236
1,0,hh,4,55,.00066466938,913236
1,0,neighbor,4,55,.041162416,913236
1,0,hh,4,56,.001811142,913236
1,0,neighbor,4,56,.11060449,913236
1,0,hh,4,61,.00035259232,913236
1,0,neighbor,4,61,.023881013,913236
1,0,hh,4,62,.002422156,913236
1,0,neighbor,4,62,.14895383,913236
1,0,hh,4,71,.00020257634,913236
1,0,neighbor,4,71,.011959668,913236
1,0,hh,4,72,.0014202243,913236
1,0,neighbor,4,72,.086490236,913236
1,0,hh,4,81,.00098003144,913236
1,0,neighbor,4,81,.059593577,913236
1,0,hh,4,92,.00001204508,913236
1,0,neighbor,4,92,.00029674696,913236
1,0,hh,5,0,.021904524,913236
1,0,neighbor,5,0,1.6642194,913236
1,0,hh,6,0,.010272263,913236
1,0,neighbor,6,0,.93529272,913236
2,0,hh,0,0,.45403081,561039
2,0,neighbor,0,0,4.799613,561039
2,0,school,0,0,.0036860183,561039
2,0,hh,1,0,.98893124,561039
