age_i,naics_i,age_j,naics_j,contactlvl,num_people,num_contact_per_person_day
1,0,1,92,neighbor,821363,.0001594909870164
1,0,1,92,school,821363,.0092163877561688
1,0,2,0,home,821363,.805524468421936
1,0,2,0,neighbor,821363,2.178643256425858
1,0,2,0,school,821363,.4488819241523743
1,0,2,0,work,821363,.0120774861425161
1,0,2,11,home,821363,.0019224142888561
1,0,2,11,neighbor,821363,.0063650298579887
1,0,2,11,school,821363,.0042039877735078
1,0,2,21,home,821363,.0005710020777769
1,0,2,21,neighbor,821363,.0034722770906228
1,0,2,22,home,821363,.0048212544061244
1,0,2,22,neighbor,821363,.0144637629709905
1,0,2,22,school,821363,.0028878827579319
1,0,2,23,home,821363,.0748706758022308
1,0,2,23,neighbor,821363,.1833622855483554
1,0,2,23,school,821363,.014540464617312
1,0,2,31,home,821363,.1458441615104675
1,0,2,31,neighbor,821363,.3870980347273871
1,0,2,31,school,821363,.0211721248924732
1,0,2,42,home,821363,.032894104719162
1,0,2,42,neighbor,821363,.1375908106565475
1,0,2,42,school,821363,.0047445525415242
1,0,2,44,home,821363,.1398614197969437
1,0,2,44,neighbor,821363,.4348759191343561
1,0,2,44,school,821363,.1531868427991867
1,0,2,48,home,821363,.0718890428543091
1,0,2,48,neighbor,821363,.2679753105621785
1,0,2,48,school,821363,.0241074897348881
1,0,2,51,home,821363,.0209955889731646
1,0,2,51,neighbor,821363,.0838691288954578
1,0,2,51,school,821363,.0095925917848945
1,0,2,52,home,821363,.0628004893660545
1,0,2,52,neighbor,821363,.2811947989976034
1,0,2,52,school,821363,.001592474989593
1,0,2,53,home,821363,.0200130753219128
1,0,2,53,neighbor,821363,.0888182175986003
1,0,2,53,school,821363,.0056272316724062
1,0,2,54,home,821363,.0762330442667007
1,0,2,54,neighbor,821363,.4303566222079098
1,0,2,54,school,821363,.0058987317606807
1,0,2,55,home,821363,.002333925338462
1,0,2,55,neighbor,821363,.0146488219361345
1,0,2,55,school,821363,.0020697305444628
1,0,2,56,home,821363,.0635577663779259
1,0,2,56,neighbor,821363,.1652010174584575
1,0,2,56,school,821363,.0179956965148449
1,0,2,61,home,821363,.0913773849606514
1,0,2,61,neighbor,821363,.2740043021040037
1,0,2,61,school,821363,.0386029072105885
1,0,2,62,home,821363,.1768876910209656
1,0,2,62,neighbor,821363,.5556179345585406
1,0,2,62,school,821363,.0304993037134409
1,0,2,71,home,821363,.0143834091722965
1,0,2,71,neighbor,821363,.0948167866736185
1,0,2,71,school,821363,.0466931201517582
1,0,2,72,home,821363,.1051776111125946
1,0,2,72,neighbor,821363,.3937029156368226
1,0,2,72,school,821363,.1483558416366577
1,0,2,92,home,821363,.0397595204412937
1,0,2,92,neighbor,821363,.1721735735191032
1,0,2,92,school,821363,.0113810822367668
1,0,3,0,home,821363,.1109253764152527
1,0,3,0,neighbor,821363,.6740272184833884
1,0,3,0,work,821363,.0046374136582017
1,0,3,11,home,821363,.0003555066359695
1,0,3,11,neighbor,821363,.0042770371710503
1,0,3,21,home,821363,.000182623276487
1,0,3,21,neighbor,821363,.0008595469046213
1,0,3,22,home,821363,.0013806319329888
1,0,3,22,neighbor,821363,.0058549020977807
1,0,3,23,home,821363,.0123733356595039
1,0,3,23,neighbor,821363,.0500935640302487
1,0,3,31,home,821363,.0327321775257587
1,0,3,31,neighbor,821363,.1546417339122854
1,0,3,42,home,821363,.0073499782010913
1,0,3,42,neighbor,821363,.0440036876243539
1,0,3,44,home,821363,.0195991303771734
1,0,3,44,neighbor,821363,.0943882302963175
1,0,3,48,home,821363,.0182221494615078
1,0,3,48,neighbor,821363,.0966454556037206
1,0,3,51,home,821363,.0038168265018612
1,0,3,51,neighbor,821363,.0271122518752236
1,0,3,52,home,821363,.0108673023059964
1,0,3,52,neighbor,821363,.0784172153798863
1,0,3,53,home,821363,.0056552342139184
1,0,3,53,neighbor,821363,.0428762917435961
1,0,3,54,home,821363,.0178909935057163
1,0,3,54,neighbor,821363,.0683911982341669
1,0,3,55,home,821363,.000730493105948
1,0,3,55,neighbor,821363,.0036195931879774
1,0,3,56,home,821363,.0072306641377509
1,0,3,56,neighbor,821363,.0514340197260026
1,0,3,61,home,821363,.0207313932478428
1,0,3,61,neighbor,821363,.0805210350663401
1,0,3,62,home,821363,.0267823114991188
1,0,3,62,neighbor,821363,.1603566302801482
1,0,3,71,home,821363,.0023558402899653
1,0,3,71,neighbor,821363,.0227244232446537
1,0,3,72,home,821363,.0132803646847606
1,0,3,72,neighbor,821363,.0692178732861066
1,0,3,92,home,821363,.0078637581318617
1,0,3,92,neighbor,821363,.0557414914947003
1,0,4,0,home,821363,.0696829557418823
1,0,4,0,neighbor,821363,.9267497872933745
1,0,4,0,work,821363,.0029146673623472
1,0,4,11,home,821363,.0000657443815726
1,0,4,11,neighbor,821363,.0006964034191697
1,0,4,21,neighbor,821363,.0001972331317575
1,0,4,22,home,821363,.0000328721907863
1,0,4,22,neighbor,821363,.0028537931320898
1,0,4,23,home,821363,.0009228562703356
1,0,4,23,neighbor,821363,.0197987973733689
1,0,4,31,home,821363,.0050635347142816
1,0,4,31,neighbor,821363,.0639217998250388
1,0,4,42,home,821363,.0008278921595775
1,0,4,42,neighbor,821363,.0272364341944922
1,0,4,44,home,821363,.0017057013465092
1,0,4,44,neighbor,821363,.0559618576226057
1,0,4,48,home,821363,.0021695645991713
1,0,4,48,neighbor,821363,.0416831542243017
1,0,4,51,home,821363,.0001655784290051
1,0,4,51,neighbor,821363,.0107930352896801
1,0,4,52,home,821363,.000902158964891
1,0,4,52,neighbor,821363,.0316242634726223
1,0,4,53,home,821363,.0006610962445848
1,0,4,53,neighbor,821363,.019840192522679
1,0,4,54,home,821363,.0014853359898552
1,0,4,54,neighbor,821363,.0461927312426269
1,0,4,55,neighbor,821363,.0015060332430039
1,0,4,56,home,821363,.0011627015192062
1,0,4,56,neighbor,821363,.0294839192647487
