,age_i,age_j,contactlvl,num_contact_per_person_day,contact_time_min_per_person_day,num_people
33,2,3,neighbor,0.7453246889653409,30.88211731255134,8300953
34,2,3,school,0.1958059778525716,50.011806306384855,8300953
35,2,3,work,3.353921109961076,831.9614836672441,8300953
36,2,4,hh,0.007396780800930909,4.438068508016883,8300953
37,2,4,neighbor,0.5859910277881004,23.09357243634122,8300953
38,2,4,school,0.11682587312090964,29.762761524745397,8300953
39,2,4,work,1.7385362852633752,393.9247473286097,8300953
40,2,5,hh,0.06231546135885376,37.389276776994976,8300953
41,2,5,neighbor,8.869276120549156,326.3999147415161,8300953
42,2,5,school,0.026493277445080746,6.841275158382597,8300953
43,2,5,work,7.045359211532693,1102.5178959495142,8300953
44,2,6,hh,0.024271916520471365,14.563149855250405,8300953
45,2,6,neighbor,6.125671526505833,222.24343349820091,8300953
46,2,6,school,0.0046266595433865285,1.173249595222019,8300953
47,2,6,work,3.5699831110082174,376.6086375587865,8300953
48,3,1,hh,0.036345379741707436,21.807227690476928,2582065
49,3,1,neighbor,0.12366918606884018,4.32914205349842,2582065
50,3,1,work,0.26777715212531616,71.24822858652439,2582065
51,3,2,hh,0.04558713792950116,27.3522828868452,2582065
52,3,2,neighbor,2.4150121748722877,100.97041130217497,2582065
53,3,2,work,10.101328829666329,2482.3784015575975,2582065
54,3,3,hh,0.02558982557361368,15.353895381814048,2582065
55,3,3,neighbor,0.7550634912951942,31.67849143507588,2582065
56,3,3,work,3.4267136970304026,826.538569895084,2582065
57,3,4,hh,0.007302451893940097,4.3814711316629165,2582065
58,3,4,neighbor,0.5991393306137571,23.858169284228662,2582065
59,3,4,work,1.8131583386710999,395.9899888590552,2582065
60,3,5,hh,0.06601407050731635,39.6084421248663,2582065
61,3,5,neighbor,9.125611496468386,339.7279683748881,2582065
62,3,5,work,7.51291452459991,1115.006559753418,2582065
63,3,6,hh,0.07136982945459229,42.82189777919224,2582065
64,3,6,neighbor,6.333869473565192,232.78239564668564,2582065
65,3,6,work,4.16231462398642,419.5885151812906,2582065
66,4,1,hh,0.027049126217199182,16.229475555636515,1910865
67,4,1,neighbor,0.1346658530726416,4.724749019842117,1910865
68,4,1,work,0.26505831879397995,70.5780930970282,1910865
69,4,2,hh,0.03165826791973814,18.99496077070582,1910865
70,4,2,neighbor,2.4957165714755156,105.76973979354834,1910865
71,4,2,work,9.5509031930208,2346.7354746373,1910865
72,4,3,hh,0.014743017673870212,8.84581061441701,1910865
73,4,3,neighbor,0.7777176343012232,33.09056818015727,1910865
74,4,3,work,3.2340879009680648,778.0351287449075,1910865
75,4,4,hh,0.024648109850926664,14.78886588579069,1910865
76,4,4,neighbor,0.6115905526689764,24.712741377143665,1910865
77,4,4,work,1.8030092982555523,396.66690948971524,1910865
78,4,5,hh,0.07601853859211717,45.61112285795666,1910865
79,4,5,neighbor,9.421490219199942,354.46670034385863,1910865
80,4,5,work,7.34832970071584,1085.0888841867447,1910865
81,4,6,hh,0.06103992341086269,36.623954105377194,1910865
82,4,6,neighbor,6.570189999505168,243.9524988844281,1910865
83,4,6,work,4.102586016843193,412.2489321357327,1910865
84,5,1,hh,0.010118860196208907,6.07131621930083,1322481
85,5,1,neighbor,0.18022586526972065,6.559062593812782,1322481
86,5,2,hh,0.02102458867063562,12.614753257217151,1322481
87,5,2,neighbor,4.596687994727593,212.0650379397862,1322481
88,5,3,hh,0.006774028461915725,4.064417101886301,1322481
89,5,3,neighbor,1.4807150061062115,68.89327631853078,1322481
90,5,4,hh,0.008366993737495039,5.020196247779365,1322481
91,5,4,neighbor,1.2535300476351299,55.00450587144033,1322481
92,5,5,hh,0.4038938879966736,242.3363342285156,1322481
93,5,5,neighbor,21.28310036659241,873.6578731536865,1322481
94,5,6,hh,0.1062586158514023,63.75516891479492,1322481
95,5,6,neighbor,15.12730869650841,614.4309663772582,1322481
96,6,1,hh,0.006656307251100414,3.993784230865108,889070
97,6,1,neighbor,0.1971660769929334,7.268006546787543,889070
98,6,2,hh,0.012740493235729193,7.644295908643731,889070
99,6,2,neighbor,4.967441420350085,234.5049989258959,889070
100,6,3,hh,0.00992626310419707,5.955757819116116,889070
101,6,3,neighbor,1.6092838080568028,76.55510486520473,889070
102,6,4,hh,0.00714960557888845,4.289763336442411,889070
103,6,4,neighbor,1.3644442178999399,61.12096374193234,889070
104,6,5,hh,0.1580584198236465,94.83505249023438,889070
105,6,5,neighbor,23.41054105758667,977.9155464172363,889070
106,6,6,hh,0.2979585528373718,178.7751312255859,889070
107,6,6,neighbor,16.99136993288994,702.2430000305176,889070
