age_i,naics_i,age_j,naics_j,contactlvl,num_people,num_contact_per_person_day,contact_time_min_per_person_day
1,0,1,56,school,2957335,.0142861735075712,5.650781631469727
1,0,1,61,hh,2957335,.0010052969446406,.6031781435012817
1,0,1,61,neighbor,2957335,.0011263519007798,.0341261483772541
1,0,1,61,school,2957335,.0910897850990295,35.59366607666016
1,0,1,62,hh,2957335,.0008653061231598,.5191836953163147
1,0,1,62,neighbor,2957335,.0014452201612585,.0543881323537789
1,0,1,62,school,2957335,.0723438486456871,28.43222808837891
1,0,1,71,hh,2957335,.0012031102087349,.7218661308288574
1,0,1,71,neighbor,2957335,.0040441816890961,.13467389321886
1,0,1,71,school,2957335,.165291041135788,65.49443054199219
1,0,1,72,hh,2957335,.0036698582116514,2.20191502571106
1,0,1,72,neighbor,2957335,.0101912699055902,.3483955315314233
1,0,1,72,school,2957335,.3530614674091339,140.0367126464844
1,0,1,81,hh,2957335,.000506198965013,.3037193715572357
1,0,1,81,neighbor,2957335,.0018337456237987,.0557619950195658
1,0,1,81,school,2957335,.0555760525166988,21.99995422363281
1,0,1,92,hh,2957335,.0000236699597735,.014201975427568
1,0,1,92,neighbor,2957335,.0000321235163483,.0011711496041471
1,0,1,92,school,2957335,.004963590297848,1.9566490650177
1,0,2,0,hh,2957335,.5734456777572632,344.0674133300781
1,0,2,0,neighbor,2957335,2.28584280051291,78.93041121959686
1,0,2,0,school,2957335,3.331450462341309,1077.717895507813
1,0,2,11,hh,2957335,.0014800487551838,.8880292773246765
1,0,2,11,neighbor,2957335,.0051421296593617,.1659436442423612
1,0,2,11,school,2957335,.005538432393223,1.507596969604492
1,0,2,21,hh,2957335,.0001856401067926,.1113840639591217
1,0,2,21,neighbor,2957335,.0010086784009218,.0305741849078913
1,0,2,21,school,2957335,.0000683047401253,.019939761608839
1,0,2,22,hh,2957335,.0062427828088403,3.745669603347778
1,0,2,22,neighbor,2957335,.019544961876818,.6170330597087741
1,0,2,22,school,2957335,.0036421304102987,1.063677072525024
1,0,2,23,hh,2957335,.0896283313632011,53.77700042724609
1,0,2,23,neighbor,2957335,.2266943026334047,7.078733846545219
1,0,2,23,school,2957335,.0782542377710342,21.97548484802246
1,0,2,31,hh,2957335,.073963887989521,44.37833404541016
1,0,2,31,neighbor,2957335,.1700023803859949,5.354568026959896
1,0,2,31,school,2957335,.07989152520895,22.94113922119141
1,0,2,42,hh,2957335,.0378391370177269,22.70348167419434
1,0,2,42,neighbor,2957335,.1065635109553114,3.414147324860096
1,0,2,42,school,2957335,.050564106553793,14.51464366912842
1,0,2,44,hh,2957335,.1414564102888107,84.87384796142578
1,0,2,44,neighbor,2957335,.6959180943667889,32.84535710513592
1,0,2,44,school,2957335,1.123777627944946,318.464599609375
1,0,2,48,hh,2957335,.0737975239753723,44.27851486206055
1,0,2,48,neighbor,2957335,.1914879397954792,5.938500486314297
1,0,2,48,school,2957335,.0788608640432358,22.87531089782715
1,0,2,51,hh,2957335,.0318814069032669,19.12884330749512
1,0,2,51,neighbor,2957335,.1960322386585176,6.472463250160217
1,0,2,51,school,2957335,.0523390136659145,15.12429141998291
1,0,2,52,hh,2957335,.0838231071829796,50.29386520385742
1,0,2,52,neighbor,2957335,.5131167196668684,16.65826553106308
1,0,2,52,school,2957335,.0630723237991333,18.24380874633789
1,0,2,53,hh,2957335,.026031207293272,15.61872482299805
1,0,2,53,neighbor,2957335,.1540518765104935,6.652876973152161
1,0,2,53,school,2957335,.0391014218330383,11.28206729888916
1,0,2,54,hh,2957335,.0952458903193474,57.14753341674805
1,0,2,54,neighbor,2957335,.5497422493062913,17.39745283126831
1,0,2,54,school,2957335,.0911536887288094,25.71750831604004
1,0,2,55,hh,2957335,.0010871274862438,.6522765159606934
1,0,2,55,neighbor,2957335,.0084048647513555,.2579142485046759
1,0,2,55,school,2957335,.0014381190994754,.4503938555717468
1,0,2,56,hh,2957335,.0567740872502327,34.064453125
1,0,2,56,neighbor,2957335,.1572811332298443,4.901477307081223
1,0,2,56,school,2957335,.065069392323494,18.81034469604492
1,0,2,61,hh,2957335,.1413011997938156,84.78072357177734
1,0,2,61,neighbor,2957335,.3443282544612885,10.81266430020332
