"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjCases","BaselineAdjEmpDays","Deaths","Case","EmpDaysLost","Population","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.0182739381978398","0.0388023825193979","0.175815539676265","49064.8224603366","4763110.61880117","510998821.062188","18007950.1002994","86.2385052382626","4419.43922417059","7103.26011498921","20072.348620207","7845.94920584076","9537.58678989068","773043.835255843","2518345.11767112","761638.226109477","456440.536664417","147537.434441363","106105.468658948"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.0193154035827274","0.0332159379014074","0.285180963154353","49012.7719788465","4737495.68555779","558528047.013442","18007950.1002994","86.1344062974623","4405.33619482225","7080.15014013143","20068.1392810994","7841.18799113375","9531.8239653623","770833.270412356","2500992.43062052","756204.204131123","456202.443327779","147316.149159953","105947.18790606"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.016816177646411","0.0492119123534176","0.176751481492227","49137.6785914188","4810840.33421527","511405572.927936","18007950.1002994","86.6259727912724","4440.55138879122","7138.19954191432","20077.1551847374","7851.22293512416","9543.92356806045","781683.787533721","2547608.26230667","770710.394850298","456738.088084129","147804.892191068","106294.909249386"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.019582286903159","-0.0318611313563847","0.394895027702024","48999.433652358","4439104.68757944","606208789.226831","18007950.1002994","72.4911470836937","4379.64194727138","7067.11642885992","20074.4707977981","7854.30069380134","9551.41263754363","510035.307163412","2466615.67772552","752681.728503013","456109.227128886","147484.947789661","106177.799268947"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0178923803602689","-0.02551180702905","0.175382698278232","49083.8920035495","4468217.57241168","510810712.097271","18007950.1002994","72.5174578709591","4397.57920550037","7097.68383875525","20084.1185653429","7866.01877800025","9565.9741580797","510478.301548014","2487170.931808","759377.554793207","456626.239950798","148004.605235145","106559.939076517"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0190986861244634","-0.030235367591221","0.284878320491858","49023.6031098794","4446559.1301027","558396521.243864","18007950.1002994","72.4987843887493","4384.77824861492","7075.9366461155","20077.2296657471","7857.62230389983","9555.53746111331","510154.894491994","2471863.49229313","754396.964072673","456245.796913305","147620.552125372","106277.430206229"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0165962305770654","-0.0201477654826101","0.17604228373501","49148.6711323404","4492812.74438998","511097361.983609","18007950.1002994","72.5355104885824","4411.82393494301","7122.30800098416","20091.0412051415","7874.46778422147","9576.4946965617","510805.699279649","2504644.91675969","765050.720868772","457031.552602373","148416.33228435","106863.522595145"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S2-N2-B1-R1-P1-F1-E1-M1","5600","-0.0193977287752217","-0.0279357444459293","0.394927758342017","49008.6575205359","4457103.34872108","606223013.667557","18007950.1002994","73.5421670120085","4382.78991870052","7067.73683931131","20076.1189349875","7855.68365406627","9552.78600645835","524388.999352325","2469932.05837861","752829.382879885","456195.932751511","147544.305467","106212.669891753"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S2-N2-B1-R1-P1-F1-E1-M1","5600","-0.0176663306670704","-0.0212136170087555","0.175463878230123","49095.1895421354","4487925.60819577","510845992.171662","18007950.1002994","73.5935357247127","4401.42428577609","7099.08418785707","20085.9475873359","7867.5808199489","9567.5591254927","525318.640612194","2491475.60554758","759730.279139817","456725.257044319","148074.002411169","106601.823440685"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S2-N2-B1-R1-P1-F1-E1-M1","5600","-0.01889246030674","-0.0261251802746109","0.28493412873117","49033.9098884473","4465405.13698759","558420775.000964","18007950.1002994","73.5626366839894","4388.27630333038","7077.02566998547","20078.9579282986","7859.08404493841","9557.00330521045","524744.508397763","2475657.37110442","754666.001316764","456337.793198852","147684.190811321","106315.27215847"
