"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjCases","BaselineAdjEmpDays","Deaths","Case","EmpDaysLost","Population","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.044254103889624","0.110878972532006","0.169041585727754","51886.0478992083","5559450.84277827","516308251.313501","18007950.1002994","110.479805995662","4634.77236988096","7574.04323113426","21049.2818505299","8395.63016787405","10121.8404737934","1259381.97415524","2719277.48582286","823847.603052685","482982.628440613","160025.565929717","113935.585377158"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.0473469739127435","0.095656928704843","0.274751372046657","51718.1405058115","5483271.34305218","562995072.028318","18007950.1002994","110.135454972015","4592.78285903561","7505.97878649581","21032.9494430247","8376.98505224989","10099.3089100335","1253609.38242773","2667385.92813299","807788.37912184","482041.910863305","159141.629634675","113304.112871641"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.0399786158724198","0.139044393661052","0.171735039659735","52118.157895135","5700406.13863393","517497817.627131","18007950.1002994","111.599811838205","4698.06065161367","7677.9381103481","21067.8190800323","8416.20989466739","10146.5303466354","1279420.06303188","2809560.19460045","851508.044466909","484149.597465949","161083.925815955","114684.313252795"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0500066813978941","-0.0813144762190241","0.381485232073096","51573.7488735439","4597608.8626389","610134175.802702","18007950.1002994","70.1350588091812","4517.26564175953","7461.82589879698","21023.8509711522","8382.27720097403","10118.394102052","495596.477546385","2555049.40482288","795126.505993563","480374.302888775","158330.10421362","113132.067173681"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0449713116593824","-0.0640281975235707","0.167767980314077","51847.1117375708","4684118.93172671","515745762.355001","18007950.1002994","70.2317986378226","4568.29364650789","7548.3826571982","21060.01020818","8426.66640024354","10173.5270268033","497290.296268991","2614983.82554898","814492.706839675","482368.782666495","160359.667307354","114623.653095213"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0487158578072752","-0.0773501142675772","0.273855435774556","51643.8257997696","4617448.71552748","562599380.980553","18007950.1002994","70.1602591921764","4530.23304913494","7484.05217459112","21033.1993634604","8393.65909791621","10132.5218554748","496004.324537436","2568724.23646667","799588.183513883","480846.480223731","158804.859634986","113480.631150768"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S1-N2-B1-R1-P1-F1-E1-M1","5600","-0.0411872491992399","-0.050253461370363","0.169502425917219","52052.5429582117","4753055.30590386","516511781.79117","18007950.1002994","70.2972726832197","4607.10405857635","7615.02169763156","21086.4121092544","8459.40134951724","10214.306470549","498519.471825804","2662973.37804433","829799.08398271","483948.137558299","161989.592726123","115825.641766603"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S2-N2-B1-R1-P1-F1-E1-M1","5600","-0.0495718533634507","-0.0727945238725431","0.381552313913797","51597.3550520427","4640247.40151151","610163802.557036","18007950.1002994","72.4948270325383","4524.09757129199","7463.49686407607","21028.4399742262","8386.36194768111","10122.4638677348","529791.714745412","2562541.46430232","795538.989992832","480623.760892619","158512.180486919","113239.291091415"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S2-N2-B1-R1-P1-F1-E1-M1","5600","-0.0444073843170157","-0.0542708378180699","0.167959313559135","51877.726528821","4732950.13924736","515830264.852073","18007950.1002994","72.6964608837215","4577.39412381898","7552.38163382795","21065.3253526928","8431.48083633442","10178.4481212631","533645.348674215","2625765.10791136","815529.957515597","482667.990710958","160582.698781779","114759.035653446"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S2-N2-B1-R1-P1-F1-E1-M1","5600","-0.0482137725008344","-0.0682497607103669","0.273981394087293","51671.0832772702","4662991.90205292","562655010.580887","18007950.1002994","72.5667220795841","4538.16451023138","7487.16477608585","21038.1188162661","8398.08145847036","10136.986994137","531106.263857062","2577771.4531986","800389.178727184","481118.308060213","159005.793601068","113600.904608794"
