"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjCases","BaselineAdjEmpDays","Deaths","Case","EmpDaysLost","Population","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S3-N1-E1-M1","5600","-0.00385164628982637","-0.00164553144917423","0.10984142079918","114413.599866655","18108530.6591814","1707797578.25089","42730176.6691399","1018.79144688713","12610.4286426506","20215.9083231724","70588.1440700369","4534.92485888124","5445.40252502696","7150643.78439078","7071656.95944901","2116559.04397472","1624593.05412349","84791.2447813422","60286.5724620813"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S3-N1-E1-M1","5600","-0.0042818110734103","-0.00311087875924587","0.262476554996455","114364.192866942","18081951.6358719","1942668891.98362","42730176.6691399","1018.40720559286","12594.6780590408","20186.0536442114","70585.6857703333","4534.48552915444","5444.88265860956","7145669.35380865","7055700.36104119","2111070.74361835","1624464.13484663","84773.1463450998","60273.8962119708"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S3-N1-E1-M1","5600","-0.00344250072499619","-0.00024023008331564","0.110078087113431","114460.592683305","18134020.5464616","1708161754.74562","42730176.6691399","1019.04300381348","12626.5636765297","20243.9339573326","70589.7840490117","4535.35474685174","5445.9132497656","7154015.72900033","7088267.01813198","2121948.12110084","1624681.35992077","84809.1530202791","60299.1652874192"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S1-N2-E1-M1","5600","-0.00428357531970347","-0.00491499275374763","0.415232032173048","114363.990232697","18049227.9344099","2177725386.6303","42730176.6691399","1016.85264606266","12582.675240633","20170.7818895402","70591.0011567264","4544.7981512617","5457.88114847357","7126727.38572352","7043967.57513555","2108301.86272211","1624637.78454334","85085.8009506181","60507.5253347683"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S1-N2-E1-M1","5600","-0.00360324392466005","-0.00273430446562384","0.10971599497045","114442.130364857","18088782.0827285","1707604575.96917","42730176.6691399","1017.3648051877","12607.259343145","20217.0202570287","70594.989422838","4546.07025073959","5459.42628591777","7133104.37079948","7068433.13948752","2116718.53373693","1624843.52871156","85137.6745414488","60544.8354515887"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S1-N2-E1-M1","5600","-0.00403803603223152","-0.00414820882407085","0.262385107081381","114392.191889292","18063136.1511174","1942528174.1072","42730176.6691399","1017.01698672154","12591.7482087452","20187.3916822222","70592.307962893","4545.27106824692","5458.45598046301","7128728.50088918","7052793.05697363","2111284.79341974","1624703.85916192","85104.7654105895","60521.1752623713"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S1-N2-E1-M1","5600","-0.00319015474220796","-0.00137788646091963","0.109947612478121","114489.576129591","18113385.3051296","1707960983.48043","42730176.6691399","1017.58696521047","12623.1222535596","20244.7721828385","70596.8556083627","4546.85635388909","5460.38276573052","7135986.67141306","7084678.40148965","2122038.48744323","1624942.94231632","85170.3938619565","60568.408605373"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S2-N2-E1-M1","5600","-0.00426811689990425","-0.00464456285008308","0.415249309904017","114365.765724722","18054133.0942063","2177751973.19172","42730176.6691399","1017.18423081469","12583.5928824415","20170.868582517","70591.3060436691","4544.86245754568","5457.95152773429","7130700.00782687","7044860.43021877","2108321.80045648","1624653.27371081","85088.380913916","60509.2010794429"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S2-N2-E1-M1","5600","-0.00358496159260724","-0.00243998067185014","0.109750708806431","114444.230200104","18094120.6389339","1707657992.79423","42730176.6691399","1017.71063728723","12608.3037701461","20217.2563612494","70595.3163734872","4546.14000765796","5459.5030502757","7137307.60444307","7069491.26136464","2116774.05901019","1624860.46398982","85140.5404694801","60546.7096567256"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S2-N2-E1-M1","5600","-0.00402149036854327","-0.00386910432237775","0.262410583891292","114394.092257784","18068198.6540512","1942567377.21627","42730176.6691399","1017.353595441","12592.7150061847","20187.5364461963","70592.6208835673","4545.33748567267","5458.52884072195","7132781.17026594","7053748.8337415","2111318.39983502","1624719.86842001","85107.4546845448","60522.9271042128"
