FocalAge,TargetAge,Value,PolicyID
2,1,1.977714362,W2-S3-N1-E1-M1
2,2,14.86045861,W2-S3-N1-E1-M1
2,3,3.94988052,W2-S3-N1-E1-M1
2,4,1.503065936,W2-S3-N1-E1-M1
2,5,0.351558692,W2-S3-N1-E1-M1
2,6,0.208889357,W2-S3-N1-E1-M1
3,1,1.40067963,W2-S3-N1-E1-M1
3,2,14.45705321,W2-S3-N1-E1-M1
3,3,4.198524744,W2-S3-N1-E1-M1
3,4,1.530596983,W2-S3-N1-E1-M1
3,5,0.350797978,W2-S3-N1-E1-M1
3,6,0.241265486,W2-S3-N1-E1-M1
4,1,1.187901406,W2-S3-N1-E1-M1
4,2,7.920800516,W2-S3-N1-E1-M1
4,3,2.203718323,W2-S3-N1-E1-M1
4,4,1.454912135,W2-S3-N1-E1-M1
4,5,0.420550346,W2-S3-N1-E1-M1
4,6,0.247779517,W2-S3-N1-E1-M1
5,1,1.172966785,W2-S3-N1-E1-M1
5,2,3.16056231,W2-S3-N1-E1-M1
5,3,0.861643817,W2-S3-N1-E1-M1
5,4,0.717453019,W2-S3-N1-E1-M1
5,5,0.642457829,W2-S3-N1-E1-M1
5,6,0.307085274,W2-S3-N1-E1-M1
6,1,1.062433546,W2-S3-N1-E1-M1
6,2,2.91840626,W2-S3-N1-E1-M1
6,3,0.920934633,W2-S3-N1-E1-M1
6,4,0.656906831,W2-S3-N1-E1-M1
6,5,0.477223594,W2-S3-N1-E1-M1
6,6,0.466668186,W2-S3-N1-E1-M1
1,1,19.62754342,W3-S3-N1-E1-M1
1,2,5.143287181,W3-S3-N1-E1-M1
1,3,0.995222503,W3-S3-N1-E1-M1
1,4,0.586228006,W3-S3-N1-E1-M1
1,5,0.339309816,W3-S3-N1-E1-M1
1,6,0.197765055,W3-S3-N1-E1-M1
2,1,1.977714362,W3-S3-N1-E1-M1
2,2,14.07841992,W3-S3-N1-E1-M1
2,3,3.720873432,W3-S3-N1-E1-M1
2,4,1.503065936,W3-S3-N1-E1-M1
2,5,0.351558692,W3-S3-N1-E1-M1
2,6,0.208889357,W3-S3-N1-E1-M1
3,1,1.40067963,W3-S3-N1-E1-M1
3,2,13.61885883,W3-S3-N1-E1-M1
3,3,3.947611931,W3-S3-N1-E1-M1
3,4,1.530596983,W3-S3-N1-E1-M1
3,5,0.350797978,W3-S3-N1-E1-M1
3,6,0.241265486,W3-S3-N1-E1-M1
4,1,1.187901406,W3-S3-N1-E1-M1
4,2,7.920800516,W3-S3-N1-E1-M1
4,3,2.203718323,W3-S3-N1-E1-M1
4,4,1.454912135,W3-S3-N1-E1-M1
4,5,0.420550346,W3-S3-N1-E1-M1
4,6,0.247779517,W3-S3-N1-E1-M1
5,1,1.172966785,W3-S3-N1-E1-M1
5,2,3.16056231,W3-S3-N1-E1-M1
5,3,0.861643817,W3-S3-N1-E1-M1
5,4,0.717453019,W3-S3-N1-E1-M1
5,5,0.642457829,W3-S3-N1-E1-M1
5,6,0.307085274,W3-S3-N1-E1-M1
6,1,1.062433546,W3-S3-N1-E1-M1
6,2,2.91840626,W3-S3-N1-E1-M1
6,3,0.920934633,W3-S3-N1-E1-M1
6,4,0.656906831,W3-S3-N1-E1-M1
6,5,0.477223594,W3-S3-N1-E1-M1
6,6,0.466668186,W3-S3-N1-E1-M1
1,1,19.62754342,W4-S3-N1-E1-M1
1,2,5.143287181,W4-S3-N1-E1-M1
1,3,0.995222503,W4-S3-N1-E1-M1
1,4,0.586228006,W4-S3-N1-E1-M1
1,5,0.339309816,W4-S3-N1-E1-M1
1,6,0.197765055,W4-S3-N1-E1-M1
2,1,1.977714362,W4-S3-N1-E1-M1
2,2,21.6767523,W4-S3-N1-E1-M1
2,3,5.784342366,W4-S3-N1-E1-M1
2,4,1.503065936,W4-S3-N1-E1-M1
2,5,0.351558692,W4-S3-N1-E1-M1
2,6,0.208889357,W4-S3-N1-E1-M1
3,1,1.40067963,W4-S3-N1-E1-M1
3,2,21.17141142,W4-S3-N1-E1-M1
3,3,6.02515491,W4-S3-N1-E1-M1
3,4,1.530596983,W4-S3-N1-E1-M1
3,5,0.350797978,W4-S3-N1-E1-M1
3,6,0.241265486,W4-S3-N1-E1-M1
4,1,1.187901406,W4-S3-N1-E1-M1
4,2,7.920800516,W4-S3-N1-E1-M1
4,3,2.203718323,W4-S3-N1-E1-M1
4,4,1.454912135,W4-S3-N1-E1-M1
4,5,0.420550346,W4-S3-N1-E1-M1
4,6,0.247779517,W4-S3-N1-E1-M1
5,1,1.172966785,W4-S3-N1-E1-M1
5,2,3.16056231,W4-S3-N1-E1-M1
5,3,0.861643817,W4-S3-N1-E1-M1
5,4,0.717453019,W4-S3-N1-E1-M1
5,5,0.642457829,W4-S3-N1-E1-M1
5,6,0.307085274,W4-S3-N1-E1-M1
6,1,1.062433546,W4-S3-N1-E1-M1
6,2,2.91840626,W4-S3-N1-E1-M1
6,3,0.920934633,W4-S3-N1-E1-M1
6,4,0.656906831,W4-S3-N1-E1-M1
6,5,0.477223594,W4-S3-N1-E1-M1
6,6,0.466668186,W4-S3-N1-E1-M1
1,1,7.340742468,W1-S1-N2-E1-M1
1,2,15.64853551,W1-S1-N2-E1-M1
1,3,3.806942768,W1-S1-N2-E1-M1
1,4,2.537781768,W1-S1-N2-E1-M1
1,5,1.500734211,W1-S1-N2-E1-M1
1,6,0.917302713,W1-S1-N2-E1-M1
2,1,6.01722828,W1-S1-N2-E1-M1
2,2,23.78384498,W1-S1-N2-E1-M1
2,3,6.108631251,W1-S1-N2-E1-M1
2,4,3.620329202,W1-S1-N2-E1-M1
2,5,1.553579312,W1-S1-N2-E1-M1
2,6,0.962018294,W1-S1-N2-E1-M1
3,1,5.357904565,W1-S1-N2-E1-M1
3,2,22.35834903,W1-S1-N2-E1-M1
3,3,6.257592277,W1-S1-N2-E1-M1
3,4,3.598092456,W1-S1-N2-E1-M1
3,5,1.539587939,W1-S1-N2-E1-M1
3,6,0.999000627,W1-S1-N2-E1-M1
4,1,5.142426655,W1-S1-N2-E1-M1
4,2,19.07827525,W1-S1-N2-E1-M1
4,3,5.18045067,W1-S1-N2-E1-M1
4,4,3.621488463,W1-S1-N2-E1-M1
4,5,1.69892308,W1-S1-N2-E1-M1
4,6,1.066920658,W1-S1-N2-E1-M1
5,1,5.187917568,W1-S1-N2-E1-M1
5,2,13.96689752,W1-S1-N2-E1-M1
5,3,3.781596567,W1-S1-N2-E1-M1
5,4,2.898339099,W1-S1-N2-E1-M1
5,5,2.01211299,W1-S1-N2-E1-M1
5,6,1.204886167,W1-S1-N2-E1-M1
6,1,4.92793417,W1-S1-N2-E1-M1
6,2,13.44041769,W1-S1-N2-E1-M1
6,3,3.813285877,W1-S1-N2-E1-M1
6,4,2.828593251,W1-S1-N2-E1-M1
6,5,1.872444476,W1-S1-N2-E1-M1
6,6,1.426986157,W1-S1-N2-E1-M1
1,1,7.340742468,W2-S1-N2-E1-M1
1,2,15.64853551,W2-S1-N2-E1-M1
1,3,3.806942768,W2-S1-N2-E1-M1
1,4,2.537781768,W2-S1-N2-E1-M1
1,5,1.500734211,W2-S1-N2-E1-M1
1,6,0.917302713,W2-S1-N2-E1-M1
2,1,6.01722828,W2-S1-N2-E1-M1
2,2,27.09866113,W2-S1-N2-E1-M1
2,3,7.025461316,W2-S1-N2-E1-M1
2,4,3.620329202,W2-S1-N2-E1-M1
2,5,1.553579312,W2-S1-N2-E1-M1
2,6,0.962018294,W2-S1-N2-E1-M1
3,1,5.357904565,W2-S1-N2-E1-M1
3,2,25.71406094,W2-S1-N2-E1-M1
3,3,7.201019417,W2-S1-N2-E1-M1
