"age","naics","sick","wfh","essential","num_people","race","income","N","prob_age_income"
2,11,0,0,1,563.256563436386,3,2,1010.01850092411,0.265039258388209
2,11,1,0,1,3.00819015302167,1,3,8.34667980670929,0.00609169350965794
2,11,1,0,1,63.0860757037878,3,1,175.04188477993,0.127751577648285
2,11,1,0,1,129.378942962327,3,2,358.98149907589,0.26199702380461
2,11,1,0,1,20.7019642522671,2,3,57.4407395124435,0.0419222239478549
2,11,1,0,1,12.6118843342913,1,1,34.9935858249664,0.0255395204543793
2,11,1,0,1,20.9296655021126,1,2,58.0725311636925,0.0423833271877654
2,11,1,0,1,44.2713217827259,2,1,122.837496548891,0.0896510226578975
2,11,1,0,1,74.9339243290832,2,2,207.915537655353,0.151743898247308
2,11,1,0,1,124.896399920383,3,3,346.54400357604,0.252919712542241
2,21,0,0,1,5.27708958403954,3,1,13.3076566457748,0.06797162164369
2,21,0,0,1,2.16418958478682,2,1,5.45760905742645,0.0278758723496482
2,21,0,0,1,8.29963562634046,2,2,20.9298514723778,0.10690356560941
2,21,0,0,1,2.95954449989918,2,3,7.46331882476807,0.0381204517719827
2,21,0,0,1,36.7195435796837,3,3,92.5985944271088,0.472966562985024
2,21,0,0,1,18.0374849865384,3,2,45.4865609407425,0.232332062092873
2,21,0,0,1,4.17917073871188,1,3,10.5389473438263,0.0538298635473716
2,21,1,0,1,40.2452616487995,3,3,85.4014108777046,0.393160882581345
2,21,1,0,1,24.7468639369967,3,2,52.5134390592575,0.24175514005834
2,21,1,0,1,4.02558640491922,2,1,8.54239094257355,0.0393264458727332
2,21,1,0,1,4.02289568730395,2,3,8.53668117523193,0.0393001599233058
2,21,1,0,1,14.1705035417437,2,2,30.0701485276222,0.13843338198946
2,21,1,0,1,7.86623685625517,3,1,16.6923433542252,0.0768462297993642
2,21,1,0,1,7.28599332398175,1,3,15.4610526561737,0.0711777597754517
2,22,0,0,1,91.4346755830606,3,1,85.6811375617981,0.0180751075905761
2,22,0,0,1,2748.23415447761,3,3,2575.30118787289,0.543279972390272
2,22,0,0,1,258.627605605136,1,2,242.353432238102,0.0511263562471911
2,22,0,0,1,121.562683559834,1,3,113.913336992264,0.0240309113619278
2,22,0,0,1,386.5903509285,2,3,362.264106333256,0.0764224528818227
2,22,0,0,1,104.906238404141,1,1,98.3050006628036,0.0207382104654043
2,22,0,0,1,471.559935552198,2,2,441.886969566345,0.0932195200142448
2,22,0,0,1,71.4223704703032,2,1,66.9281091690063,0.0141190092532453
2,22,0,0,1,804.258462639218,3,2,753.650401592255,0.158988459795316
2,22,1,0,1,187.405250361303,1,2,298.646567761898,0.0838726078126375
2,22,1,0,1,70.3360808749522,1,3,112.086663007736,0.0314786833075887
2,22,1,0,1,82.6406092896931,1,1,131.694999337196,0.0369855348182021
2,22,1,0,1,174.91100041352,2,3,278.735893666744,0.0782808470494618
2,22,1,0,1,995.050130162135,3,3,1585.69893613458,0.445331436339715
2,22,1,0,1,43.9711741637756,2,1,70.0718908309937,0.0196791554056751
2,22,1,0,1,267.392372533215,2,2,426.113004565239,0.119670583136447
2,22,1,0,1,367.315725012737,3,2,585.349558502436,0.164390953231102
