Policy1,Policy2,Policy3,Policy4,MSA,,BaselineAdjDeaths,BaselineAdjEmpDays,Deaths,Case,EmpDaysLost,Population,Death5_17,Death18_49,Death50_59,Death60_69,Death70_79,Death80,Case5_17,Case18_49,Case50_59,Case60_69,Case70_79,Case80
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S2-N2-E2-M1,5600,0,-0.006735218,0.41336064,49670.31616,4573750.61,520093526.6,18007950.11,65.9121375,4627.987737,7255.406945,20641.62294,7702.305118,9377.081287,467015.6158,2607910.15,779911.9812,469450.9521,144966.1114,104495.7992
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S2-N2-E2-M1,5600,0,-0.003165334,-0.001063491,49848.83582,4608523.253,367592245.9,18007950.11,65.95407149,4647.777451,7287.719175,20731.8299,7718.488491,9397.066729,467746.1303,2630079.91,786581.6323,473421.4294,145678.0074,105016.1434
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S2-N2-E2-M1,5600,0,-0.005529855,0.205825686,49730.5929,4584684.988,443724068.5,18007950.11,65.9284936,4634.702132,7266.358552,20672.63291,7707.491836,9383.47897,467290.3267,2614832.204,782015.8669,470713.7829,145180.505,104652.3024
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S2-N2-E2-M1,5600,0,0.000295723,0.000120786,50021.91332,4645229.862,368028040.2,18007950.11,65.99655212,4667.092501,7319.631007,20825.24941,7731.198108,9412.745739,468529.9868,2653339.327,793739.1135,477879.5988,146283.4522,105458.3835
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S3-N2-E2-M1,5600,0,-0.006035208,0.413465196,49705.32166,4679285.404,520132001.7,18007950.11,71.10220033,4636.462725,7257.31521,20647.80425,7708.64186,9383.995415,560540.734,2618501.413,780434.5057,469825.3675,145283.75,104699.634
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S3-N2-E2-M1,5600,0,-0.002171634,-0.000701204,49898.52787,4721646.15,367725561.6,18007950.11,71.26504846,4658.539236,7292.295216,20745.34747,7725.855293,9405.225605,563949.3197,2644206.274,787896.2345,474274.2451,146056.565,105263.5109
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S3-N2-E2-M1,5600,0,-0.004674818,0.206047026,49773.35088,4694050.082,443805518.2,18007950.11,71.18159413,4644.278666,7269.717296,20682.99866,7714.261401,9390.913256,562197.1232,2627124.299,782971.9763,471359.1437,145523.438,104874.1016
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S3-N2-E2-M1,5600,0,0.00173779,0.000646122,50094.02696,4769587.014,368221355.3,18007950.11,71.47871828,4680.947644,7328.428329,20851.31027,7739.652441,9422.209561,568608.1737,2672549.369,796368.9284,479577.0417,146729.7109,105753.7902
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S1-N3-E2-M1,5600,0,-0.004139992,0.413384192,49800.09597,4572002.729,520102193.3,18007950.11,65.33255452,4629.461976,7261.472073,20673.07996,7743.03128,9427.718128,459346.201,2609361.708,780959.4299,470648.9521,146247.1665,105439.2716
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S1-N3-E2-M1,5600,0,-3.60E-05,-0.001022503,50005.32235,4608363.361,367607328.9,18007950.11,65.35882952,4649.660993,7295.041305,20769.77922,7767.456084,9458.025917,459780.9127,2632115.797,787934.8149,474970.958,147327.8659,106233.0127
